baseline,status,taz_id,node_id,density,density_rank,rank_bucket,major_level,outside_len_ft,line_node_dist_ft
earliest,removed,5474,45416,0.015344458109489412,3,3-4,4.0,0.0,543.8333117368377
earliest,removed,5474,880871,0.00694669593989834,9,7-10,4.0,0.0,13.417973894852334
earliest,removed,5475,1008469,0.012418714544234785,3,3-4,3.0,0.0,2.288122465308233
earliest,retained,5475,45459,0.015166214364828762,2,2,4.0,0.0,115.22534273296638
earliest,removed,5475,535228,0.006699328731059433,5,5-6,3.0,905.172798818563,905.9062691832448
earliest,removed,5475,1595478,0.004308257176285595,6,5-6,4.0,0.0,91.87864519341716
earliest,removed,5637,1362297,0.0038597679240156917,1,1,4.0,11363.9082042654,6630.642427914554
earliest,removed,5637,725839,0.0026732283137532406,2,2,4.0,4539.211003006517,14557.955423149506
earliest,removed,5637,683630,0.001854538881035308,5,5-6,4.0,12112.959522824623,13614.530092202662
earliest,removed,5637,92616,0.0004961402985010762,9,7-10,4.0,11741.229347614932,8931.99513480306
earliest,removed,5638,410767,0.0036449885350362853,2,2,4.0,0.0,173.11787720024583
earliest,removed,5638,92824,0.0028637326779289707,3,3-4,4.0,1323.1581599252074,5839.195108903842
earliest,removed,5638,1086641,0.0018777356471541542,4,3-4,4.0,5.080995313631553,270.9687605399574
earliest,removed,5638,1086641,0.001055384273042824,8,7-10,4.0,5.080995313631553,5080.272510640121
earliest,removed,5645,1608423,0.0014187388286127191,2,2,3.0,0.5548663114355178,236.50805012864168
earliest,removed,5645,147389,0.0013681473075520959,3,3-4,4.0,27162.49050257502,33501.10673599351
earliest,removed,5645,410482,0.0009701933395502742,5,5-6,3.0,468.96080175914796,336.6312809841866
earliest,removed,5645,274910,0.0008497626654242185,7,7-10,5.0,5.159916859397915,10218.373499385738
earliest,removed,5646,92931,0.0026942078138232337,1,1,3.0,0.35349584315344507,250.4060232533991
earliest,removed,5646,92791,0.0016137963292727723,3,3-4,4.0,10163.86155001483,11226.897109254853
earliest,removed,5646,272875,0.0015503531351855012,4,3-4,5.0,5900.651108801181,1406.3904961835128
earliest,removed,5646,677874,0.0014056506213557319,6,5-6,3.0,10.547481274999852,201.21194148798418
earliest,removed,6002,165805,0.0,10,7-10,4.0,24820.363275454256,27271.03437712392
earliest,removed,6002,165805,0.0,2,2,4.0,24820.363275454256,27271.03437712392
earliest,removed,6002,165805,0.0,4,3-4,4.0,24820.363275454256,25173.961025942095
earliest,removed,6002,165805,0.0,6,5-6,4.0,24820.363275454256,24314.52940086234
earliest,retained,6003,165805,0.0,10,7-10,4.0,28565.026768352895,31741.241329873126
earliest,retained,6003,165805,0.0,2,2,4.0,28565.026768352895,31741.241329873126
earliest,retained,6003,165805,0.0,4,3-4,4.0,28565.026768352895,29024.710435544966
earliest,retained,6003,165805,0.0,6,5-6,4.0,28565.026768352895,29973.780100629534
earliest,removed,6102,663761,0.0,10,7-10,5.0,32583.155828184063,128703.57639586537
earliest,removed,6102,430768,0.0,2,2,5.0,32837.62170231535,128707.60198580574
earliest,removed,6102,430768,0.0,4,3-4,5.0,32837.62170231535,128707.60198580574
earliest,removed,6102,155213,0.0,6,5-6,5.0,33469.38693393018,98529.7977536135
earliest,removed,6103,663761,0.0,10,7-10,5.0,132751.3801465477,155970.620440124
earliest,removed,6103,663761,0.0,2,2,5.0,132751.3801465477,155970.620440124
earliest,removed,6103,663761,0.0,4,3-4,5.0,132751.3801465477,155970.620440124
earliest,removed,6103,663761,0.0,6,5-6,5.0,132751.3801465477,147562.52407911996
stabilized,removed,12,1449057,0.011197210171660485,2,2,4.0,0.0,863.6275359539088
stabilized,retained,12,55224,0.009093729022265894,5,5-6,4.0,5.800902570394135,151.94387488992777
stabilized,retained,12,55098,0.007441172537906485,7,7-10,4.0,5.863928103209477,663.4437144823689
stabilized,removed,4,1443289,0.019240781463969136,1,1,4.0,0.0,7256.647089361433
stabilized,removed,4,811927,0.004956718127895603,8,7-10,3.0,180.8227157899989,926.8770697663065
stabilized,removed,7,582897,0.007688709906943012,1,1,3.0,17.05159339415868,1365.782701983395
stabilized,removed,7,1576421,0.007423657635383565,2,2,3.0,0.0,2166.1039681740613
stabilized,retained,7,55386,0.007235010573496259,3,3-4,4.0,0.0,156.40704544627496
stabilized,retained,13,1180477,0.006658339088064877,2,2,4.0,1.8143441470529553,1799.710867507085
stabilized,retained,13,1670535,0.005758630082925288,4,3-4,4.0,0.0,366.32237171868195
stabilized,retained,21,927842,0.0051792140125640025,1,1,4.0,0.0,36.226424564991284
stabilized,removed,21,995875,0.0048416171251391355,2,2,4.0,0.0,86.62402563190375
stabilized,removed,21,872938,0.004415550707079602,3,3-4,4.0,5.1874332926822015,116.56974062696769
stabilized,retained,408,994089,0.008962110642887823,1,1,4.0,1.6504679607015549,804.7503333438275
stabilized,removed,408,36240,0.004190175601907578,7,7-10,4.0,0.0,11.699180977419019
stabilized,removed,40,551621,0.006686381031847808,1,1,4.0,0.0,2191.3051630753375
stabilized,removed,40,990393,0.004622011371654859,5,5-6,4.0,0.0,942.8134075550614
stabilized,removed,40,872507,0.0038003330792207722,7,7-10,4.0,0.0,0.8840968953624132
stabilized,removed,46,539820,0.01339172725959125,1,1,3.0,0.0,177.79919746329537
stabilized,removed,46,594871,0.010061282788783333,2,2,4.0,0.0,1050.3595681047002
stabilized,removed,46,565741,0.00974036773984763,5,5-6,4.0,3.0955878312364025,13.856858453361202
stabilized,retained,48,39360,0.010439706589548962,1,1,4.0,0.0,30.43998070389803
stabilized,removed,48,1172797,0.00873730898283795,3,3-4,4.0,0.3851548298876688,265.44337949664504
stabilized,retained,55,1176338,0.016726966829777676,1,1,3.0,3.7874729407395695,443.3159380014986
stabilized,removed,55,64341,0.01237162582655955,2,2,4.0,0.0,290.21689598812793
stabilized,removed,55,64274,0.010949060167633227,3,3-4,4.0,0.0,73.73613800108433
stabilized,removed,57,989381,0.008268212404225239,1,1,4.0,0.0,11.420919359839958
stabilized,removed,57,64349,0.006646319009770278,3,3-4,5.0,13.703871917698148,123.47190869203304
stabilized,retained,57,64293,0.005488845606977136,6,5-6,5.0,8.855670537372552,341.94883047341483
stabilized,retained,62,1450425,0.006954545321972908,1,1,4.0,19.308296230929383,380.94432595820643
stabilized,retained,62,64354,0.003287082057792302,9,7-10,4.0,0.0,665.1645464202853
stabilized,removed,65,787209,0.010256070667562242,1,1,4.0,0.0,51.88195843063295
stabilized,removed,65,66464,0.0064231057057042105,7,7-10,4.0,6.73133285578002,2930.336042336003
stabilized,retained,71,73655,0.01334507668941077,1,1,4.0,0.0,114.1743340454769
stabilized,retained,71,68068,0.009545904606654993,2,2,4.0,0.0,3223.4475706659427
stabilized,removed,71,1732680,0.005318134143928586,8,7-10,3.0,0.0,32.39722577617027
stabilized,retained,73,819133,0.013788579428714379,1,1,3.0,6.838920997048495,3391.1182303870164
stabilized,retained,76,68504,0.00913767035438286,1,1,3.0,0.5992940932337228,2220.410814007986
stabilized,retained,76,74537,0.0036217235987383235,9,7-10,3.0,27.926342840535984,45.89774653410924
stabilized,removed,77,68491,0.010643019751568637,4,3-4,3.0,0.0,202.73233223509467
stabilized,retained,78,750347,0.012284696734930696,3,3-4,3.0,0.0,102.62581798310384
stabilized,retained,78,996213,0.0059091333797144235,6,5-6,3.0,0.0,457.78018374136616
stabilized,removed,84,1220491,0.01344002435927261,3,3-4,4.0,0.8743650821872153,8.061472321294444
stabilized,retained,84,77068,0.013470945685144542,2,2,4.0,0.0,352.06168392837134
stabilized,retained,84,77203,0.011005501962556095,6,5-6,4.0,8.392869975917113,56.29621141850839
stabilized,removed,86,583428,0.026565621992957745,1,1,4.0,0.0,6.929341451996159
stabilized,removed,86,603406,0.015094152746422387,3,3-4,4.0,0.0,149.6277217939496
