taz_id,node_id,was_20260722_candidate,candidate_best_rank,candidate_max_density,candidate_sector_count,major_level,outside_len_ft
500,844608,True,4.0,0.012371670319704453,1.0,4.0,0.0
501,57531,False,,,,4.0,0.0
501,59448,False,,,,4.0,6.69245377301693
501,59639,False,,,,4.0,0.0
501,59763,False,,,,3.0,5758.531106882201
502,59539,False,,,,4.0,0.0
502,61297,False,,,,4.0,0.0
517,53453,False,,,,4.0,0.0
517,566653,False,,,,4.0,2.61863217122598
518,53484,False,,,,4.0,19.78007604465558
518,54837,False,,,,4.0,29.859768635516517
518,54839,False,,,,4.0,21.96575592270906
522,59912,False,,,,4.0,0.0
522,60074,False,,,,4.0,0.0
522,641191,False,,,,4.0,2339.875025484402
523,60068,False,,,,4.0,4.888548239212929
526,60667,True,6.0,0.00689994757765859,1.0,4.0,11.480118379635135
526,60748,False,,,,4.0,5.793719168452856
527,569193,False,,,,4.0,7.741617592740803
528,556371,False,,,,4.0,1117.8409629028392
529,422974,False,,,,4.0,0.0
529,1007502,True,7.0,0.008875826623540707,1.0,4.0,12.484270483282852
533,62496,False,,,,3.0,19.845647349046153
533,74038,False,,,,3.0,12.778700697995228
533,556416,False,,,,4.0,0.0
533,681228,True,5.0,0.012411036196767025,1.0,4.0,0.0
534,60570,False,,,,4.0,0.0
534,62323,False,,,,4.0,656.5728960604577
534,556421,False,,,,4.0,9.94319821743769
535,62411,False,,,,4.0,0.0
548,25500,False,,,,4.0,15.043021167900228
548,60694,False,,,,4.0,6.275250357153151
549,59699,False,,,,3.0,33.41199793389853
549,59809,False,,,,4.0,2.0296007995539846
549,59829,True,6.0,0.00953886978513641,2.0,4.0,0.0
552,56885,False,,,,4.0,0.0
552,59217,False,,,,4.0,3292.2064644143775
553,56975,False,,,,4.0,0.0
553,160422,False,,,,4.0,0.0
553,552429,False,,,,4.0,372.47047979169
566,49262,False,,,,4.0,72.0370091658614
566,49306,False,,,,3.0,0.0
566,49548,False,,,,4.0,7605.399308281218
566,49612,True,2.0,0.007167322418603567,1.0,4.0,0.0
567,49270,False,,,,4.0,39.69822504333375
574,49209,False,,,,4.0,6.650706760706918
574,810733,False,,,,4.0,0.0
