taz_id,node_id,earliest_to_final,stabilized_to_final,in_earliest,in_stabilized,in_final,density,density_rank,major_level,outside_len_ft,line_node_dist_ft
67,1279299,removed,not_applicable,True,False,False,0.006866570097323851,7,4.0,0.0,14.591485109180212
67,1530775,added,added,False,False,True,0.0,0,4.0,0.0,0.0
68,65938,removed,not_applicable,True,False,False,0.00647497211862968,8,4.0,266.08938111185313,803.8228862805597
68,65977,removed,not_applicable,True,False,False,0.020634816888073122,1,4.0,6281.386085172155,6434.183490152216
68,66483,added,added,False,False,True,0.0,0,4.0,16.553182240971573,0.0
68,66583,removed,not_applicable,True,False,False,0.009382079763515296,4,3.0,0.0,21.578195538115047
68,66768,added,added,False,False,True,0.0,0,3.0,0.0,0.0
68,760837,added,removed,False,True,False,0.009021361660348136,5,4.0,0.0,239.9826856292784
68,993180,added,unchanged,False,True,True,0.020634816888073122,1,3.0,0.0,1371.3431740195483
68,1045181,added,removed,False,True,False,0.00837065494853941,6,3.0,0.0,69.0149624545404
68,1181445,removed,not_applicable,True,False,False,0.012854748814331317,2,3.0,0.0,6.082951374912332
71,68068,added,unchanged,False,True,True,0.009545904606654993,2,4.0,0.0,3223.4475706659427
71,73499,added,added,False,False,True,0.0,0,3.0,0.0,0.0
71,73655,unchanged,unchanged,True,True,True,0.01334507668941077,1,4.0,0.0,114.1743340454769
71,476898,removed,not_applicable,True,False,False,0.008428379928517433,4,4.0,5969.925565965504,6258.254030838682
71,1448736,removed,not_applicable,True,False,False,0.009545904606654993,2,4.0,1718.0181992175703,6544.745956594188
71,1732680,removed,removed,True,True,False,0.005318134143928586,8,3.0,0.0,32.39722577617027
72,55742,removed,not_applicable,True,False,False,0.01103323160600403,3,3.0,12.301568728805615,68.55135464271702
72,66665,added,removed,False,True,False,0.018132040369932788,2,3.0,2.981717854513545,144.33551443264273
72,66668,added,unchanged,False,True,True,0.00927684085240455,6,4.0,0.0,284.2429177670381
72,761398,removed,not_applicable,True,False,False,0.010715147552427844,4,4.0,0.0,839.6576603984697
72,986192,added,added,False,False,True,0.0,0,3.0,0.7260465462313448,0.0
72,996608,removed,not_applicable,True,False,False,0.02003212771367607,1,3.0,0.0,24.33702057703527
72,1664998,unchanged,unchanged,True,True,True,0.009699799692820305,5,3.0,6.99208925090225,74.91735571853208
73,541550,removed,not_applicable,True,False,False,0.013788579428714379,1,3.0,3484.2524098627023,5599.6572201372455
73,819133,unchanged,unchanged,True,True,True,0.0055796292056659105,3,3.0,6.838920997048495,668.8631998042929
73,873191,removed,not_applicable,True,False,False,0.005289721170806878,4,3.0,2075.395261736053,2406.345001726994
73,1386750,removed,not_applicable,True,False,False,0.0040359160461918364,9,4.0,1343.13148469207,1382.0770256252351
74,73655,removed,not_applicable,True,False,False,0.0171409400687785,1,4.0,2.2097230898936444,9.476608303987764
74,73663,added,added,False,False,True,0.0,0,4.0,0.0,0.0
74,819133,removed,not_applicable,True,False,False,0.010060709168585475,5,3.0,0.0,378.68531295848567
74,1355875,removed,not_applicable,True,False,False,0.007655767328065447,7,3.0,5064.486481758365,5034.662671797848
74,1386744,added,removed,False,True,False,0.01563478421310995,3,4.0,0.0,18.878818415830363
74,1417488,removed,not_applicable,True,False,False,0.013796272148481828,4,4.0,3.437945142972374,86.5764168541636
74,1448852,added,removed,False,True,False,0.016207021374876864,2,4.0,0.0,16.459498997587417
76,68504,added,unchanged,False,True,True,0.00913767035438286,1,3.0,0.5992940932337228,2220.410814007986
76,74528,removed,not_applicable,True,False,False,0.0057980421152872665,3,3.0,0.0,338.64294878118557
76,74537,added,unchanged,False,True,True,0.0036217235987383235,9,3.0,27.926342840535984,45.89774653410924
76,541550,removed,not_applicable,True,False,False,0.00913767035438286,1,3.0,1058.059768476984,1052.8709744716941
76,995432,removed,not_applicable,True,False,False,0.005110466263457336,5,4.0,5537.628564672117,5525.443182449924
76,1694711,removed,not_applicable,True,False,False,0.004873708899488452,6,3.0,4656.0432576366875,4160.041385600669
77,68491,removed,removed,True,True,False,0.010643019751568637,4,3.0,0.0,202.73233223509467
77,68504,removed,not_applicable,True,False,False,0.010915002624506584,2,3.0,0.0,402.32929583431604
77,993134,added,added,False,False,True,0.0,0,3.0,0.0,0.0
77,993655,removed,not_applicable,True,False,False,0.008399801685260052,6,3.0,2971.9738417596523,3073.8739686695167
77,996443,removed,not_applicable,True,False,False,0.010899828224129436,3,4.0,0.0,112.30064924247561
78,71626,removed,not_applicable,True,False,False,0.01582624111124225,1,3.0,0.0,12.129941991226204
78,74527,removed,not_applicable,True,False,False,0.006419451025250818,5,3.0,1597.383689740222,1598.5338275665504
78,76840,removed,not_applicable,True,False,False,0.012284696734930696,3,3.0,0.0,63.545463083886915
78,539620,removed,not_applicable,True,False,False,0.005530144567557604,8,3.0,2861.9632915360885,2908.5347737824754
78,750347,added,unchanged,False,True,True,0.012284696734930696,3,3.0,0.0,102.62581798310384
78,996213,added,unchanged,False,True,True,0.0059091333797144235,6,3.0,0.0,457.78018374136616
79,71618,added,added,False,False,True,0.0,0,3.0,3.094903572021924,0.0
79,539620,removed,not_applicable,True,False,False,0.01571939184934707,4,3.0,977.1004126122127,1079.4804755800442
79,544352,removed,not_applicable,True,False,False,0.008266616515929713,7,3.0,3357.364428948267,3473.2600055298612
79,1228434,removed,removed,True,True,False,0.01711848496357853,2,3.0,0.0,18.141501313457237
79,1386919,unchanged,unchanged,True,True,True,0.016412446664572304,3,3.0,0.0,20.71280684523535
80,76825,added,added,False,False,True,0.0,0,3.0,1429.3938707374616,0.0
80,603415,removed,not_applicable,True,False,False,0.016604811533318255,1,3.0,685.3938172918498,652.6619361916352
80,1228425,removed,not_applicable,True,False,False,0.010662048052287574,5,3.0,3148.6418156320315,2299.7691352264915
80,1231336,removed,not_applicable,True,False,False,0.005850958622297622,8,3.0,2320.0741476044695,30.524395585100923
80,1356489,removed,not_applicable,True,False,False,0.01336241436097213,2,4.0,3243.678747251569,2619.8325446682634
81,71587,removed,not_applicable,True,False,False,0.011472797582017101,2,3.0,34.70434305002415,47.94289705207669
81,71619,added,unchanged,False,True,True,0.008509259701835551,4,3.0,18.850423056861782,761.5416470583374
81,71625,removed,not_applicable,True,False,False,0.008509259701835551,4,3.0,612.5595614973436,713.1975423793047
81,71683,removed,not_applicable,True,False,False,0.004548234558629268,8,3.0,458.4087799025053,457.77403766550214
81,996148,removed,not_applicable,True,False,False,0.014704735610231688,1,3.0,13.070727155588763,14.196776038314642
81,1227171,added,unchanged,False,True,True,0.011472797582017101,2,3.0,24.009904849193887,342.6539941962223
84,77062,removed,not_applicable,True,False,False,0.013363019412777715,4,5.0,1581.2229431304843,1551.258956442297
84,77068,added,unchanged,False,True,True,0.013470945685144542,2,4.0,0.0,352.06168392837134
84,77143,added,added,False,False,True,0.0,0,4.0,0.0,0.0
84,77195,removed,not_applicable,True,False,False,0.015099955005823005,1,4.0,8.9153068300774,16.126768924461103
84,77203,added,unchanged,False,True,True,0.011005501962556095,6,4.0,8.392869975917113,56.29621141850839
84,583033,removed,not_applicable,True,False,False,0.012872972986745243,5,4.0,0.0,51.49031938217901
84,996634,removed,not_applicable,True,False,False,0.013470945685144542,2,4.0,250.32341390452632,409.6603981814167
84,1220491,added,removed,False,True,False,0.01344002435927261,3,4.0,0.8743650821872153,8.061472321294444
85,76866,removed,not_applicable,True,False,False,0.010524580418585857,6,3.0,4496.458215871308,4396.582438848536
85,77062,removed,removed,True,True,False,0.025037697029347293,2,5.0,0.0,9.07952318201835
85,77114,removed,not_applicable,True,False,False,0.026283145918675702,1,3.0,124.254268837577,133.25470453265353
85,77121,added,removed,False,True,False,0.026283145918675702,1,4.0,0.0,730.6673023841514
85,77136,added,added,False,False,True,0.0,0,4.0,0.0,0.0
85,1222486,removed,not_applicable,True,False,False,0.011457647773874256,5,4.0,0.0,194.71285558879634
86,77202,added,added,False,False,True,0.0,0,4.0,0.0,0.0
86,583428,removed,removed,True,True,False,0.026565621992957745,1,4.0,0.0,6.929341451996159
86,586270,added,added,False,False,True,0.0,0,4.0,0.9999766082208248,0.0
86,603406,removed,removed,True,True,False,0.015094152746422387,3,4.0,0.0,149.6277217939496
86,990471,removed,not_applicable,True,False,False,0.013403356006004815,5,4.0,861.4658775069379,1598.504842966779
86,992083,removed,removed,True,True,False,0.013793419853560198,4,4.0,4.493618803824295,31.126610687024353
87,77147,added,removed,False,True,False,0.021412407724477438,2,4.0,0.0,206.4696986362821
87,77176,added,added,False,False,True,0.0,0,4.0,2.6795275293872605,0.0
87,77195,unchanged,added,True,False,True,0.017885680661734762,5,4.0,0.0,94.1437652222812
87,600651,removed,removed,True,True,False,0.015886555809939914,6,4.0,0.0,6.649882737625516
87,796398,removed,removed,True,True,False,0.02231712728426104,1,4.0,0.0,34.99853597758257
87,991310,removed,not_applicable,True,False,False,0.019048404588617465,4,4.0,0.0,110.4014883521199
89,77839,added,added,False,False,True,0.0,0,3.0,0.0,0.0
89,77947,added,unchanged,False,True,True,0.005344241567974684,9,4.0,3.5390796506137128,634.8530725589885
89,78039,removed,not_applicable,True,False,False,0.006525670235048455,6,3.0,1731.249472033071,1618.9326528793208
89,872618,added,removed,False,True,False,0.006621672529190319,5,3.0,0.0,104.32097607714581
89,992271,removed,not_applicable,True,False,False,0.008065117756547422,3,4.0,12.918018517469378,118.2339723595577
89,993006,removed,not_applicable,True,False,False,0.006621672529190319,5,3.0,26.96141788267697,31.95669808098434
89,1318177,added,removed,False,True,False,0.006525670235048455,6,4.0,1.055227964481126,1284.8565794235278
89,1435674,removed,not_applicable,True,False,False,0.009090957814632934,2,4.0,2.2901137848607194,34.92207449559395
90,77819,added,added,False,False,True,0.0,0,4.0,283.2747166743346,0.0
90,77934,added,added,False,False,True,0.0,0,4.0,0.0,0.0
90,77969,added,added,False,False,True,0.0,0,4.0,0.0,0.0
90,566273,removed,removed,True,True,False,0.02283300988007955,1,4.0,1.3836571767859145,56.483623694561466
90,990519,removed,removed,True,True,False,0.010244851302781749,4,4.0,3.494749620807327,100.58410340329118
90,1271835,removed,not_applicable,True,False,False,0.004838512185477757,7,4.0,2399.4970212647704,2399.700512994032
90,1318177,removed,not_applicable,True,False,False,0.011325442164017456,3,4.0,0.0,194.53033958499987
91,77774,removed,not_applicable,True,False,False,0.015394185349109166,4,4.0,1468.0260079753189,1465.4898913505772
91,583132,removed,removed,True,True,False,0.020511633468337186,3,3.0,0.0,25.177344162009597
91,797037,added,added,False,False,True,0.0,0,4.0,0.0,0.0
91,1448731,removed,not_applicable,True,False,False,0.024574186338689977,1,3.0,0.0,8.207595473503906
91,1577981,added,removed,False,True,False,0.024574186338689977,1,3.0,0.0,416.60365582970917
91,1697380,removed,not_applicable,True,False,False,0.013964521279973264,5,3.0,0.0,0.7834765759710606
92,77217,added,added,False,False,True,0.0,0,4.0,334.579609512348,0.0
92,77809,removed,not_applicable,True,False,False,0.022184064200040755,4,3.0,0.0,45.125101505651536
