taz_id,old_node_id,new_node_id,endpoint_shift_ft,old_density,old_density_rank,old_major_level,new_major_level,major_level_change,new_was_20260722_candidate,new_candidate_best_rank
533,985088,556416,1296.50564981415,0.008836247285738296,8,4.0,4.0,same,False,
533,812198,681228,2186.110960129496,0.016822362724127883,2,4.0,4.0,same,True,5.0
533,574698,74038,739.6166169030445,0.01791374686230914,1,3.0,3.0,same,False,
534,996793,60570,5398.205349928808,0.021680961624359337,1,4.0,4.0,same,False,
534,62297,62323,2310.5281690556913,0.012810937352521638,3,4.0,4.0,same,False,
535,1003239,62411,626.7149272199257,0.010806524100426025,3,4.0,4.0,same,False,
548,60555,25500,543.1390613829843,0.008461181818750734,3,4.0,4.0,same,False,
548,60712,60694,544.4530925614276,0.006004657604556492,7,4.0,4.0,same,False,
549,59704,59699,1046.8854617376185,0.008972348556163301,7,3.0,3.0,same,False,
549,983697,59829,103.30696975516898,0.014379449632618854,2,4.0,4.0,same,True,6.0
549,811440,59809,871.7112939496415,0.019407475938349406,1,4.0,4.0,same,False,
552,1002989,56885,483.6844632609212,0.008420398665995189,1,4.0,4.0,same,False,
552,818867,59217,1723.9547702894681,0.004433734172270794,4,4.0,4.0,same,False,
553,1004569,56975,1072.89302821924,0.00809207313316939,3,4.0,4.0,same,False,
553,876596,552429,1933.6021203959904,0.018339255682553676,1,4.0,4.0,same,False,
553,1544513,160422,2013.9305276003108,0.005410530770898314,4,4.0,4.0,same,False,
566,1003963,49306,2197.9601179267847,0.006497633812435155,4,3.0,3.0,same,False,
566,49300,49262,2689.1354837572176,0.005787131323920877,6,3.0,4.0,less major,False,
566,810232,49612,3486.3682794563924,0.00727504974698899,1,4.0,4.0,same,True,2.0
567,48882,49270,2438.923125069774,0.005997318080881698,1,4.0,4.0,same,False,
574,49179,49209,197.30570189428232,0.009037708940461308,1,4.0,4.0,same,False,
574,581913,810733,80.07121830002811,0.005322683909386539,7,4.0,4.0,same,False,
597,1007072,82677,2585.026407989166,0.007511993128460116,2,4.0,4.0,same,False,
597,82630,759526,2385.5561573779796,0.009196050237487405,1,4.0,4.0,same,True,3.0
598,52080,52079,128.19801090554185,0.01296737373334401,2,4.0,4.0,same,False,
600,82706,25279,679.6423324073851,0.009323596010543203,5,4.0,4.0,same,False,
602,984066,82615,568.4331535017992,0.014772932660453639,1,4.0,4.0,same,False,
604,1099623,81937,287.6646832681854,0.012781047999590275,2,4.0,4.0,same,False,
604,1006467,1731618,318.27990825681917,0.007423478574868381,7,4.0,4.0,same,False,
614,556631,85388,3207.5154013660413,0.007117294860451859,1,4.0,4.0,same,False,
614,1006441,85376,1530.6608932092456,0.0062325718058223265,4,4.0,4.0,same,False,
615,690867,586416,102.04729295736328,0.01925210130306925,1,4.0,4.0,same,False,
615,1007106,1009201,178.78461902525106,0.015145980144374483,2,4.0,4.0,same,False,
617,1459236,983878,486.9872277588024,0.004657695007348143,6,4.0,4.0,same,False,
617,1005738,83125,436.19781063234666,0.005468506092289423,4,4.0,4.0,same,False,
617,1007233,85300,3159.104849477892,0.006823197532547525,1,4.0,4.0,same,False,
618,1401939,83174,457.9467217932845,0.005131265303005742,3,4.0,4.0,same,False,
618,1007314,556804,2280.908840792435,0.006884684835171132,1,4.0,4.0,same,True,2.0
620,1007543,82964,1031.143695126559,0.005612066479050935,6,4.0,4.0,same,False,
620,1007030,869982,306.7631333767606,0.010843946130112872,1,4.0,4.0,same,False,
622,598541,51606,1605.549242471374,0.01020820305644047,2,3.0,3.0,same,False,
623,556602,422274,1708.984657625367,0.010352722705055746,1,4.0,4.0,same,False,
626,81367,81441,4680.768964605105,0.009599986671687814,3,4.0,4.0,same,False,
627,81998,82016,1684.6341116100002,0.012687882733494653,3,3.0,4.0,less major,False,
627,82006,1559094,54.04599892713402,0.010774588922186397,6,4.0,4.0,same,True,9.0
639,810261,49770,471.78216371541123,0.004364325209596778,2,3.0,3.0,same,False,
639,556612,49751,175.30730161628705,0.0036341732279888943,4,4.0,4.0,same,False,
640,513999,48406,822.3002188970656,0.0070015439165822,1,4.0,4.0,same,False,
640,1003713,1708395,1933.0680407059856,0.0038766103241246047,5,4.0,4.0,same,False,
642,51075,51076,192.93942054475002,0.0128904301807325,2,3.0,4.0,less major,False,
642,1007207,51065,74.60630000260569,0.007200498863067923,5,4.0,4.0,same,False,
642,1005698,51460,230.83164861035266,0.009908073920655848,4,4.0,4.0,same,False,
652,1680337,422439,1880.0587650389261,0.0035689081337359576,7,4.0,4.0,same,False,
652,585854,57760,2389.0462071720226,0.002942244133961334,8,3.0,3.0,same,False,
652,56491,56548,3390.7995591007507,0.007416435484333259,2,3.0,3.0,same,False,
672,60096,681602,612.3047035594341,0.012707561408323229,2,3.0,4.0,less major,False,
735,557214,46655,3674.212243461172,0.004656094589137665,2,4.0,4.0,same,False,
738,165563,165558,1193.7921092045726,0.0017352774796145199,8,4.0,4.0,same,False,
740,664389,46923,789.617787287063,0.005555462632774891,1,4.0,4.0,same,False,
760,164676,164674,214.17137997413144,0.001598938934723942,5,3.0,3.0,same,False,
761,977784,46762,2542.0388765719554,0.0015927169155139983,7,3.0,3.0,same,False,
761,556997,46936,3360.234642104687,0.003874659750052192,2,4.0,4.0,same,True,3.0
775,456290,222187,505.9140243167568,0.017862918293572005,1,4.0,4.0,same,False,
775,33596,1119236,57.96447187778505,0.005999306457190747,6,4.0,5.0,less major,False,
776,1132487,517337,931.7962438215875,0.0098433173600961,1,4.0,4.0,same,False,
893,37998,238323,2064.370589308164,0.002768206000672865,4,4.0,4.0,same,False,
894,968507,237964,3090.9574325765234,0.004068817712850859,8,3.0,3.0,same,False,
918,987904,239851,758.3821859722149,0.0031567261238439072,3,4.0,4.0,same,False,
918,983941,435740,509.95915522715205,0.004677729374556948,1,4.0,4.0,same,False,
919,1694322,814043,372.4307855157806,0.020538389122953717,1,4.0,4.0,same,False,
920,984799,239657,2663.4804391996245,0.005728616622228827,7,4.0,4.0,same,False,
920,438853,438852,2190.117992253722,0.005895706957634063,4,4.0,4.0,same,False,
922,814143,240028,1717.4621538770512,0.011850348956604227,2,4.0,4.0,same,True,5.0
922,989274,411875,902.2327914679285,0.006872863698678118,6,4.0,4.0,same,False,
933,1671012,38590,933.5474117583194,0.010505900303036594,1,3.0,3.0,same,False,
934,983347,38152,948.4552967849991,0.01063523220460685,6,4.0,4.0,same,False,
940,765259,764796,365.3379394478464,0.02150711398971735,1,3.0,3.0,same,False,
945,749917,39910,609.5553297277927,0.008442631929531829,3,3.0,3.0,same,False,
945,814636,40043,259.0742364651432,0.007723377616515813,5,3.0,3.0,same,False,
958,877114,1033231,54.502293529722216,0.008245929513655331,7,3.0,3.0,same,False,
962,1042803,38400,980.9646527777321,0.006308205649261579,5,3.0,3.0,same,False,
963,1124975,38589,3235.2716671092767,0.01088297111943791,3,3.0,3.0,same,False,
964,1719483,1719485,284.19086895930485,0.00425027887372041,2,3.0,3.0,same,False,
964,1719807,1719463,3737.9753717750204,0.004150321037155258,3,3.0,3.0,same,False,
964,1042856,40504,121.80410502112466,0.0038314149520856703,4,4.0,4.0,same,False,
967,755766,557124,371.6399467216132,0.006089854690410008,5,3.0,3.0,same,False,
969,41167,411907,3434.2486805707485,0.007458882671730685,3,4.0,4.0,same,False,
979,814648,95079,1434.4172893548125,0.007550640196791626,5,3.0,3.0,same,False,
984,1151311,988788,265.066727448051,0.008207142564056101,5,4.0,4.0,same,False,
984,41554,1374025,286.4609048369187,0.01621069999143761,1,4.0,4.0,same,False,
985,986761,42863,129.23420599841182,0.024435286426890194,1,4.0,4.0,same,False,
987,43066,833002,2583.448356364005,0.006141386501670774,3,4.0,4.0,same,False,
990,43545,43548,858.7869875586149,0.013354936325862373,2,3.0,3.0,same,False,
991,43576,1043137,1544.616878064585,0.012255952813683938,1,3.0,3.0,same,False,
996,43102,988683,81.1529420288772,0.012999670225890398,1,3.0,3.0,same,False,
1008,817579,239632,13045.503874131935,0.0015596703055830703,4,4.0,4.0,same,False,
1014,1369358,94556,1533.473971086193,0.0028836307567712623,8,4.0,4.0,same,False,
1014,95048,543595,2303.984976079376,0.0044878870020105535,6,4.0,4.0,same,True,1.0
1015,94989,94993,1209.141348230613,0.014429692742457917,1,4.0,4.0,same,False,
1029,973276,912321,438.74815099326656,0.00643591584927792,4,4.0,4.0,same,False,
1031,95033,664867,182.00890088124828,0.005789049070323959,5,4.0,4.0,same,False,
1032,844520,833854,410.4376688366329,0.006455054786938758,1,4.0,4.0,same,False,
1032,1441757,1537106,261.76053942438017,0.005390078135464787,2,4.0,4.0,same,False,
1035,1335627,646703,1273.1145313757086,0.011523738822696188,1,3.0,3.0,same,False,
1037,1053375,435841,1937.0527845160987,0.022223926190393522,1,4.0,4.0,same,False,
1040,657875,437559,2205.6922224098694,0.006581377540791161,4,4.0,4.0,same,True,9.0
1040,1272792,978553,1674.931607559936,0.00863607618139276,2,4.0,4.0,same,False,
1041,662836,615869,126.0813229626022,0.013680949199857887,1,4.0,4.0,same,False,
1050,976454,97863,1806.0810723774175,0.002334969790069943,5,4.0,4.0,same,False,
